date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:21	206560/206560	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/fonts/storytella.eot?tnmptw	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/fonts/storytella4ff8.eot	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/theme.css?ver=6.1.1)
12:45:21	206380/206380	---MCZ	200	added ('OK')	x-font/ttf	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/fonts/storytella.ttf?tnmptw	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/fonts/storytella4ff8.ttf	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/theme.css?ver=6.1.1)
12:45:22	160040/160040	---M--	200	added ('OK')	x-font/woff	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/fonts/storytella.woff?tnmptw	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/fonts/storytella4ff8.woff	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/theme.css?ver=6.1.1)
12:45:22	229384/229384	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2028%20Jul%202022%2014:10:01%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/fonts/storytella.svg?tnmptw	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/fonts/storytella4ff8.svg	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/theme.css?ver=6.1.1)
12:45:26	117882/117882	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Mar%202023%2004:45:25%20GMT	https://demo.artureanec.com/themes/transx/wp-content/uploads/2020/11/about-safari_left.png	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/demo.artureanec.com/themes/transx/wp-content/uploads/2020/11/about-safari_left.76.delayed	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/theme.css?ver=6.1.1)
12:45:29	129097/129097	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Mar%202023%2004:45:28%20GMT	https://www.internationalshipcare.com/wp-content/themes/transx/css/owl.video.play.png	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/themes/transx/css/owl.video.play.77.delayed	(from https://www.internationalshipcare.com/wp-content/themes/transx/css/owl.carousel.css?ver=6.1.1)
12:45:31	129329/129329	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Mar%202023%2004:45:30%20GMT	https://www.internationalshipcare.com/wp-content/plugins/quadmenu/assets/frontend/owlcarousel/owl.video.play.png	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/quadmenu/assets/frontend/owlcarousel/owl.video.play.png	(from https://www.internationalshipcare.com/wp-content/plugins/quadmenu/assets/frontend/owlcarousel/owl.carousel.min.css?ver=2.3.2)
12:45:33	56564/56564	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2017%20Jul%202020%2014:41:04%20GMT	https://www.internationalshipcare.com/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-includes/fonts/dashicons7d4b.eot	(from https://www.internationalshipcare.com/wp-includes/css/dashicons.min.css?ver=6.1.1)
12:45:34	56392/56392	---M-Z	200	added ('OK')	x-font/ttf	date:Fri,%2017%20Jul%202020%2014:41:04%20GMT	https://www.internationalshipcare.com/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-includes/fonts/dashicons7d4b.ttf	(from https://www.internationalshipcare.com/wp-includes/css/dashicons.min.css?ver=6.1.1)
12:45:35	210192/210192	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2028%20Jul%202022%2014:13:36%20GMT	https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.15.0	C:/Users/Mohd%20Izz/Documents/International%20Shipcare/website/internationalshipcare/www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons5519.eot	(from https://www.internationalshipcare.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0)
